source,target,weight
1455,2085,5
2332,582,6
2332,1214,8
2332,2085,5
2332,2198,8
2209,2085,6
2332,1464,1
2332,1324,5
582,2085,6
2332,2060,1
2209,2160,2
2332,2160,1
555,130,2
555,208,2
555,510,2
555,1889,1
1777,130,4
1777,208,3
1777,510,2
1777,1889,2
277,208,4
277,2209,14
555,1652,2
555,2209,2
555,651,1
555,1961,1
582,1961,7
495,582,8
495,975,7
495,1454,6
495,2198,8
525,1454,3
525,2198,2
525,1298,1
1777,1298,2
1777,1454,9
525,12,1
517,1324,9
517,1387,11
517,1652,13
517,2198,13
517,2050,3
582,2050,10
517,1374,7
552,1374,15
552,1387,15
552,1652,30
552,2198,36
1516,1387,22
1516,2198,40
517,1454,1
512,130,1
512,567,1
512,585,1
512,986,1
1652,130,8
1652,567,2
1652,986,5
430,300,1
430,1175,1
430,1324,1
430,1454,1
430,2198,1
412,139,3
412,194,3
412,594,3
412,718,3
582,139,8
582,594,20
277,139,10
277,194,8
277,718,6
277,2201,2
412,216,1
412,2201,1
360,66,1
360,401,1
360,1068,1
360,2239,1
594,66,9
594,401,3
594,1068,9
594,2239,1
300,277,2
300,605,1
300,975,2
300,1387,2
604,277,7
604,605,3
604,975,4
604,1387,8
300,200,1
582,277,18
54,151,1
54,204,1
54,656,1
54,718,1
2049,151,2
2049,204,2
2049,656,2
2049,718,2
2199,1772,2
2199,2051,1
2390,582,6
2390,1772,2
2390,2051,1
2390,2198,6
1453,594,7
2390,594,5
2390,1464,1
1374,1770,4
2390,1770,1
277,680,8
2390,680,3
651,594,9
651,680,6
651,1772,2
1517,582,8
1517,1175,5
1517,1374,6
1517,2198,8
1058,582,3
1058,802,1
1058,976,1
1058,2198,4
1517,802,1
1517,976,1
688,1208,6
688,1374,10
1517,1068,5
1517,1208,6
651,1175,11
651,1386,4
1517,1386,3
1453,1175,14
1453,1208,3
605,582,27
605,1068,13
605,1208,7
605,1374,14
605,2198,25
582,1208,8
582,1477,1
1517,1477,1
1388,327,1
1388,346,1
1388,1381,1
1388,2160,1
2209,327,11
2209,346,16
582,1517,6
1271,277,1
1271,651,1
1271,1517,1
1271,2198,1
1246,582,2
1246,651,2
1246,1175,1
1246,1299,1
2199,651,6
2199,1175,14
2199,1299,7
975,582,21
975,986,9
975,1307,3
1246,986,1
1246,1307,1
1058,1299,2
1058,1516,3
2199,1516,8
1058,1056,2
1175,1056,2
1175,1299,2
1175,1516,2
1175,2198,3
1058,983,1
1453,983,1
582,1540,1
983,594,7
983,975,7
983,986,7
983,1068,7
983,1131,1
983,1540,1
983,2198,1
1777,594,13
1777,986,11
1777,1068,13
151,594,8
151,975,8
151,986,10
151,1068,11
610,199,2
610,582,5
610,912,4
610,1411,1
2198,199,3
2198,912,11
2198,1411,5
216,111,6
216,199,2
610,111,4
610,277,4
142,111,4
142,277,4
142,582,5
142,912,4
130,277,9
130,582,12
130,912,7
543,327,1
543,476,2
543,582,2
543,723,1
2209,476,3
2209,723,1
543,2068,1
543,2216,1
585,476,3
585,2068,3
585,2216,1
142,830,1
142,2198,2
2065,582,5
2065,830,1
2065,912,2
2065,2198,4
142,581,1
200,111,6
200,277,14
200,581,1
200,582,21
200,2198,12
1652,2043,2
2126,582,1
2126,677,1
2126,2043,1
2126,2068,1
1298,1175,4
1298,1299,2
1298,1345,1
1298,2198,4
2199,1345,1
1298,1777,2
1298,1924,1
1298,1067,1
1298,1270,2
1516,1067,4
1516,1175,13
1516,1270,7
1516,1299,7
582,1216,1
1298,1068,1
1298,1216,1
1175,1494,1
1516,1056,4
1516,1494,2
582,641,2
582,1411,6
1175,641,1
1175,1411,1
970,582,1
970,785,1
970,971,1
970,1073,1
970,1307,1
1069,582,3
1069,785,1
1069,971,1
1069,1073,1
1069,1307,1
912,327,1
912,999,1
912,1516,1
912,2198,1
272,200,1
272,346,1
272,1516,1
272,2198,1
208,140,1
208,582,3
208,1129,2
208,1763,2
975,140,1
975,1129,2
975,1763,15
208,165,2
327,165,3
327,582,10
327,1129,2
327,1763,6
208,130,1
208,151,1
216,151,3
216,165,3
582,1808,8
2075,651,1
2075,1808,1
2075,2068,1
2075,2209,1
1652,2311,1
1888,130,1
1888,582,1
1888,1577,1
1888,2311,1
1719,975,1
1389,582,2
1389,912,2
1389,1283,1
1389,1544,1
2209,912,9
1069,912,3
1069,1198,1
1069,1516,3
1389,1198,1
1389,1516,1
1270,346,1
1270,688,1
1270,975,1
1270,1341,1
1270,1374,1
604,401,2
604,582,10
604,2209,7
2263,277,3
2263,401,2
2263,582,3
2263,2209,3
594,277,11
594,582,23
594,2228,3
2263,2228,2
585,2049,4
585,2050,5
585,2228,3
2263,2049,2
2263,2050,2
2263,718,1
2263,1454,1
2051,507,1
2051,582,1
2051,1783,1
2051,1808,1
2051,1831,1
2051,2042,1
2209,507,5
2209,1783,1
2209,1808,6
2209,2042,2
1067,327,1
1067,594,1
1067,975,1
1067,2199,1
984,430,1
984,1068,2
984,1464,1
984,1473,1
1387,430,1
1387,1068,3
1387,1464,2
1387,1473,1
582,945,1
582,1201,2
984,718,1
984,945,1
984,1201,1
552,582,28
552,1777,27
688,1652,7
688,1777,10
552,277,11
604,1374,6
552,130,3
200,130,8
111,130,6
111,277,5
111,582,6
111,688,2
552,688,4
552,1453,4
1516,1453,7
2217,582,24
2217,1652,22
2217,1777,22
2217,2198,27
605,1777,16
552,689,1
718,277,5
718,689,2
718,2198,12
552,1771,3
594,1387,11
594,1771,4
594,2198,16
2217,688,4
2217,1387,13
552,1174,1
1455,277,5
1455,1174,1
1455,1453,5
605,277,13
605,1453,6
605,1771,3
495,2050,3
2199,975,8
2199,2050,5
495,130,5
495,709,1
1652,709,3
1652,1454,5
495,594,6
200,2050,3
44,130,1
44,975,4
44,1479,2
44,2198,4
495,1479,2
277,2185,2
495,2185,2
495,2041,3
1777,2041,3
582,2185,2
165,199,1
165,346,2
165,1324,2
165,1763,2
2198,346,15
2198,1324,16
2198,1763,11
165,200,1
165,975,1
165,1479,1
1381,430,1
1381,912,2
1381,1175,2
1381,1516,2
2198,1175,12
1381,1374,1
1324,430,1
1324,1770,2
2198,1770,4
1324,2067,2
1516,2067,2
1455,1175,8
605,1381,8
1324,1195,1
1453,1195,1
1324,1131,1
2209,1770,4
2209,2067,3
507,474,1
507,1882,1
507,2198,1
507,2340,1
585,474,1
585,1882,2
585,2198,13
585,2340,1
56,200,1
56,327,2
56,718,1
56,2207,2
582,2207,4
56,151,1
56,199,1
56,201,2
56,278,2
216,201,7
216,278,2
130,278,2
130,327,7
130,2207,3
2199,66,8
2217,66,8
2217,2209,10
2198,1387,11
2198,1517,2
2217,1517,2
1652,66,7
1652,1777,6
1652,1808,5
2217,1808,6
2217,2043,1
651,688,3
651,1719,4
2217,1719,2
604,66,11
604,1808,4
585,507,4
2217,507,3
1516,66,10
1516,1719,4
1516,2209,19
1056,836,1
1056,1299,1
1056,1324,2
1056,1453,1
1516,836,1
582,495,2
582,653,4
1056,495,1
1056,653,1
1056,912,1
1056,1068,1
401,476,2
401,507,2
401,582,3
401,677,2
2209,677,4
401,447,1
401,2049,2
2068,447,1
2068,582,5
2068,677,4
2068,2049,3
401,600,1
585,600,1
204,159,1
204,300,2
204,327,3
204,604,1
975,159,1
975,327,10
975,604,2
130,54,2
130,233,3
204,54,1
204,233,1
204,912,2
204,39,1
204,718,1
582,39,1
148,0,2
148,174,2
148,517,2
148,1068,1
148,1961,1
201,0,4
201,174,2
201,517,3
201,1068,5
201,1961,3
66,0,4
66,174,2
66,208,3
66,453,2
66,517,3
148,208,1
148,453,1
