source,target,weight,sourceArea,sourceCategory,targetArea,targetCategory
130,327,7,0,4,0,0
130,2207,3,0,0,4,1
2199,66,8,4,1,0,2
2217,66,8,0,2,4,1
2217,2209,10,4,1,4,1
2198,1387,11,3,3,4,1
2198,1517,2,4,1,3,4
2217,1517,2,4,1,3,4
1652,66,7,4,2,0,2
1652,1777,6,4,5,4,2
1652,1808,5,4,2,4,5
2217,1808,6,4,1,4,5
2217,2043,1,4,1,4,3
651,688,3,1,1,1,1
651,1719,4,1,1,4,2
2217,1719,2,4,1,4,2
604,66,11,0,2,1,3
604,1808,4,1,3,4,5
585,507,4,1,3,1,0
2217,507,3,4,1,1,0
1516,66,10,3,4,0,2
1516,1719,4,3,4,4,2
1516,2209,19,3,4,4,1
1056,836,1,2,1,2,2
1056,1299,1,3,0,2,1
1056,1324,2,3,0,2,1
1056,1453,1,3,1,2,1
1516,836,1,3,4,2,2
582,495,2,1,3,1,5
582,653,4,1,3,1,1
1056,495,1,2,1,1,5
1056,653,1,2,1,1,1
1056,912,1,2,1,2,0
1056,1068,1,2,1,2,1
401,476,2,1,2,1,5
401,507,2,1,2,1,0
401,582,3,1,3,1,2
401,677,2,1,1,1,2
2209,677,4,4,1,1,1
401,447,1,1,2,1,2
401,2049,2,4,3,1,2
2068,447,1,4,3,1,2
2068,582,5,1,3,4,3
2068,677,4,1,1,4,3
2068,2049,3,4,3,4,3
401,600,1,1,2,1,3
585,600,1,1,3,1,3
204,159,1,0,3,0,0
204,300,2,0,1,0,3
204,327,3,0,4,0,3
204,604,1,1,3,0,3
975,159,1,2,3,0,0
975,327,10,0,4,2,3
975,604,2,2,3,1,3
130,54,2,0,0,0,2
130,233,3,0,0,0,3
204,54,1,0,2,0,3
204,233,1,0,3,0,3
204,912,2,2,0,0,3
204,39,1,0,3,0,2
204,718,1,1,4,0,3
582,39,1,1,3,0,2
148,0,2,0,2,0,0
148,174,2,0,0,0,0
148,517,2,1,0,0,0
148,1068,1,2,1,0,0
148,1961,1,4,0,0,0
201,0,4,0,3,0,2
201,174,2,0,3,0,0
201,517,3,0,3,1,0
201,1068,5,2,1,0,3
201,1961,3,0,3,4,0
66,0,4,0,2,0,2
66,174,2,0,2,0,0
66,208,3,0,2,0,3
66,453,2,0,2,1,5
66,517,3,0,2,1,0
148,208,1,0,3,0,0
148,453,1,0,0,1,5
976,1307,2,2,3,3,0
976,1374,3,3,3,2,3
976,1887,1,4,0,2,3
1454,200,4,3,1,0,3
1454,1307,2,3,1,3,0
1454,1374,6,3,3,3,1
1454,1887,1,3,1,4,0
605,200,5,1,3,0,3
1454,277,5,3,1,0,1
1454,2198,7,4,1,3,1
277,896,1,0,1,2,0
1454,208,1,3,1,0,3
1454,896,1,3,1,2,0
1454,1763,6,3,1,4,2
200,784,4,0,3,2,2
200,1763,8,0,3,4,2
1454,784,3,3,1,2,2
1454,651,4,3,1,1,1
1516,651,7,3,4,1,1
1516,784,4,3,4,2,2
975,277,10,0,1,2,3
975,784,4,2,3,2,2
1454,495,1,3,1,1,5
1411,861,3,3,3,2,5
1455,861,4,3,1,2,5
718,1386,3,3,3,1,4
1411,1386,2,3,3,3,3
1516,1455,7,3,4,3,1
1453,861,4,3,1,2,5
1411,1849,1,3,3,4,5
2199,861,5,4,1,2,5
2199,1849,1,4,1,4,5
986,1067,2,2,3,2,1
986,1652,4,4,2,2,3
986,1763,4,2,3,4,2
986,2198,4,4,1,2,3
975,141,3,2,3,0,0
975,1288,1,2,3,3,5
975,2217,5,4,1,2,3
986,141,2,2,3,0,0
986,1288,1,2,3,3,5
986,2217,2,2,3,4,1
718,1067,1,1,4,2,1
986,975,2,2,3,2,3
277,141,4,0,1,0,0
986,999,1,2,3,2,3
986,1517,1,2,3,3,4
718,216,4,1,4,0,3
2209,216,6,4,1,0,3
1453,216,3,3,1,0,3
718,986,5,2,3,1,4
975,689,1,2,3,1,1
200,535,1,0,3,1,0
718,535,1,1,4,1,0
178,194,5,0,0,0,0
178,582,19,1,3,0,0
178,986,7,2,3,0,0
178,2198,13,4,1,0,0
718,194,5,1,4,0,0
327,194,3,0,4,0,0
327,200,4,0,4,0,3
327,975,6,0,4,2,3
327,986,8,2,3,0,4
582,420,1,1,3,1,2
582,527,2,1,3,1,0
718,420,1,1,4,1,2
718,527,1,1,4,1,0
111,238,2,0,3,0,5
111,680,2,0,5,1,1
1652,238,2,4,2,0,3
111,139,5,0,5,0,0
200,139,7,0,3,0,0
111,274,1,0,5,0,1
216,139,5,0,3,0,0
216,274,1,0,3,0,1
44,651,3,1,1,0,2
44,912,3,2,0,0,2
44,1208,1,3,2,0,2
2199,912,11,4,1,2,0
277,2211,3,0,1,4,1
2049,582,4,1,3,4,3
2049,2211,2,4,3,4,1
178,1622,1,0,0,4,2
178,2050,4,4,3,0,0
178,2211,3,4,1,0,0
2049,1622,1,4,3,4,2
2049,2050,1,4,3,4,3
1652,1704,4,4,2,4,2
1652,2263,4,4,2,4,1
2049,549,2,4,3,1,0
2049,709,1,4,3,1,1
2049,1704,1,4,3,4,2
2049,2263,2,4,3,4,1
216,204,2,0,3,0,3
216,549,3,0,3,1,0
216,2263,2,0,3,4,1
1889,582,7,1,3,4,0
1889,1214,8,3,2,4,0
1889,1324,9,3,0,4,0
1889,1516,6,3,4,4,0
594,346,9,1,3,0,4
594,1324,10,3,0,1,3
1889,346,8,0,4,4,0
1889,1771,1,4,5,4,0
1889,1652,3,4,2,4,0
1889,1651,1,4,0,4,2
1889,2333,1,4,4,4,0
2199,346,9,4,1,0,4
2199,1651,1,4,1,4,2
1889,1411,3,3,3,4,0
1889,199,1,4,0,0,3
1069,861,1,2,1,2,5
1069,999,1,2,1,2,3
1069,1131,1,2,1,2,4
1068,346,7,2,1,0,4
1068,582,10,1,3,2,1
1068,912,8,2,1,2,0
1068,2198,8,4,1,2,1
1068,141,2,2,1,0,0
1068,327,7,2,1,0,4
1068,1763,8,2,1,4,2
656,582,14,1,3,1,1
656,1763,6,1,1,4,2
178,327,8,0,4,0,0
178,2048,1,0,0,4,3
1068,2048,1,2,1,4,3
130,1763,7,0,0,4,2
1068,1961,3,2,1,4,0
2198,1961,5,4,1,4,0
327,204,2,0,4,0,3
327,899,1,0,4,2,0
327,944,1,0,4,2,0
1068,204,1,2,1,0,3
1068,899,1,2,1,2,0
1068,944,1,2,1,2,0
582,1107,1,1,3,2,1
1068,1107,1,2,1,2,1
151,201,3,0,3,0,0
151,582,6,1,3,0,0
975,201,7,0,3,2,3
151,695,2,1,1,0,0
594,201,8,1,3,0,3
594,695,2,1,3,1,1
151,121,3,0,0,0,5
327,121,2,0,4,0,5
151,131,1,0,0,0,0
216,121,2,0,3,0,5
216,131,1,0,3,0,0
151,54,2,0,2,0,0
201,54,3,0,3,0,2
201,121,1,0,3,0,5
201,594,4,1,3,0,3
178,54,2,0,2,0,0
178,1068,10,2,1,0,0
151,1298,1,3,0,0,0
151,2085,1,4,3,0,0
582,695,2,1,3,1,1
2199,2205,1,4,1,4,1
2201,1299,2,3,0,4,1
2201,2198,5,4,1,4,1
2201,2205,1,4,1,4,1
2201,2209,5,4,1,4,1
651,1270,6,3,5,1,1
2201,1270,4,3,5,4,1
2201,1719,3,4,1,4,2
1516,1116,3,3,4,2,1
2201,784,1,4,1,2,2
2201,1116,1,4,1,2,1
582,144,3,1,3,0,0
582,1978,1,1,3,4,0
2201,144,1,4,1,0,0
2201,527,1,4,1,1,0
2201,1978,1,4,1,4,0
2201,2041,1,4,1,4,3
1516,2087,2,3,4,4,3
1808,651,4,1,1,4,5
1808,2087,1,4,5,4,3
1808,2198,2,4,1,4,5
1808,2209,4,4,1,4,5
975,2209,9,4,1,2,3
1808,1068,3,2,1,4,5
1808,2217,3,4,1,4,5
582,565,3,1,3,1,0
1808,565,1,1,0,4,5
1808,2199,1,4,1,4,5
604,625,1,1,3,1,3
1652,625,1,4,2,1,3
604,497,1,1,5,1,3
605,497,1,1,3,1,5
327,66,6,0,4,0,2
604,165,2,1,3,0,0
174,66,4,0,2,0,0
174,582,7,1,3,0,0
174,605,3,1,3,0,0
174,1374,4,3,3,0,0
604,1455,3,3,1,1,3
594,605,6,1,3,1,3
582,433,1,1,3,1,2
604,433,1,1,3,1,2
604,2060,1,4,3,1,3
2068,520,1,4,3,1,0
2068,552,1,4,3,1,0
2068,1454,3,3,1,4,3
2198,520,1,4,1,1,0
2198,1454,7,4,1,3,1
2068,139,2,4,3,0,0
2068,2380,2,4,4,4,3
2068,1808,3,4,3,4,5
2068,2067,1,4,3,4,3
2209,2380,2,4,1,4,4
2068,2217,1,4,1,4,3
1652,2049,3,4,2,4,3
2068,1704,1,4,2,4,3
174,327,3,0,4,0,0
174,1777,6,4,5,0,0
605,327,8,1,3,0,4
174,656,1,1,1,0,0
174,2228,2,4,1,0,0
585,656,2,1,1,1,3
174,201,3,0,3,0,0
174,346,4,0,4,0,0
2209,201,7,4,1,0,3
174,0,1,0,2,0,0
1961,66,4,0,2,4,0
1961,346,5,4,0,0,4
1961,1777,5,4,5,4,0
688,201,4,1,1,0,3
688,605,4,1,3,1,1
174,565,1,1,0,0,0
1464,1453,4,3,1,3,1
1464,1488,1,3,1,3,1
2065,0,4,0,2,4,3
2065,1453,4,3,1,4,3
2065,1488,1,4,3,3,1
605,2075,1,1,3,4,3
1464,1068,5,2,1,3,1
1464,2075,1,3,1,4,3
178,0,5,0,2,0,0
178,1453,5,3,1,0,0
975,1318,2,2,3,3,0
1464,1318,1,3,1,3,0
1464,1763,4,3,1,4,2
1464,2209,4,4,1,3,1
1464,1056,1,2,1,3,1
1464,1067,1,3,1,2,1
1464,1116,1,3,1,2,1
1516,0,3,3,4,0,2
1374,688,3,3,3,1,1
1374,872,1,3,3,2,5
1374,1444,1,3,3,3,3
1374,1521,1,3,3,3,4
1387,688,2,3,3,1,1
1387,872,1,3,3,2,5
1387,1444,1,3,3,3,3
1387,1521,1,3,3,3,4
688,904,1,1,1,2,0
688,1464,2,1,1,3,1
1387,904,1,3,3,2,0
1387,1208,2,3,3,3,2
1387,346,1,3,3,0,4
216,1451,1,0,3,3,1
2209,1451,1,4,1,3,1
200,201,9,0,3,0,3
1777,0,4,4,5,0,2
1777,912,5,4,5,2,0
2065,1454,1,3,1,4,3
1516,2147,2,3,4,4,3
2065,2147,1,4,3,4,3
605,1084,1,1,3,2,1
2065,1084,1,4,3,2,1
1961,2316,1,4,0,4,1
2199,2316,1,4,1,4,1
1961,2201,1,4,1,4,0
1961,1270,2,3,5,4,0
1652,1270,4,4,2,3,5
1652,2125,2,4,2,4,3
1652,2390,1,4,2,4,4
1961,2125,1,4,0,4,3
1961,2126,1,4,0,4,3
1961,2390,1,4,0,4,4
1374,1069,4,3,3,2,1
1777,1069,3,4,5,2,1
1374,204,1,3,3,0,3
1455,204,1,3,1,0,3
1455,605,4,1,3,3,1
594,505,1,1,3,1,0
1374,505,1,3,3,1,0
1374,1531,1,3,3,3,4
2209,1531,1,4,1,3,4
277,1069,6,2,1,0,1
277,107,2,0,1,0,5
1374,107,1,3,3,0,5
656,594,4,1,3,1,1
656,549,2,1,1,1,0
656,2207,3,1,1,4,1
656,2263,2,1,1,4,1
1652,2207,2,4,2,4,1
651,2263,2,1,1,4,1
594,512,1,1,3,1,0
656,512,1,1,1,1,0
656,784,2,1,1,2,2
66,219,2,0,2,0,3
66,494,1,0,2,1,5
66,582,6,1,3,0,2
656,219,1,1,1,0,3
656,453,1,1,1,1,5
656,494,2,1,5,1,1
656,2206,1,1,1,4,1
2209,2206,1,4,1,4,1
582,494,1,1,3,1,5
1455,1359,2,3,1,3,0
2198,1359,3,4,1,3,0
1455,1056,2,3,1,2,1
688,718,3,1,4,1,1
1455,718,3,1,4,3,1
585,1359,2,1,3,3,0
178,1239,1,0,0,3,5
1455,1239,1,3,1,3,5
1453,1728,1,3,1,4,2
1455,1728,1,3,1,4,2
582,1124,1,1,3,2,4
1455,1124,1,3,1,2,4
585,427,1,1,3,1,2
605,427,1,1,3,1,2
327,272,2,0,4,0,1
327,1464,1,0,4,3,1
605,272,1,1,3,0,1
605,1464,3,1,3,3,1
605,1341,3,1,3,3,0
975,1341,3,2,3,3,0
976,1387,2,3,3,2,3
976,1453,1,3,1,2,3
976,1459,1,2,3,3,1
1516,1459,2,3,4,3,1
975,1069,3,2,1,2,3
976,300,3,0,1,2,3
976,1069,2,2,1,2,3
277,300,4,0,1,0,1
582,280,1,1,3,0,1
976,280,1,2,3,0,1
976,1517,1,2,3,3,4
178,585,4,1,3,0,0
2209,585,5,4,1,1,3
178,2126,1,4,3,0,0
178,1494,1,3,1,0,0
585,194,4,0,0,1,3
66,54,2,0,2,0,2
178,1979,1,4,0,0,0
2198,2211,2,4,1,4,1
178,300,4,0,1,0,0
178,148,1,0,0,0,0
200,148,1,0,3,0,0
200,585,5,1,3,0,3
130,44,2,0,0,0,2
130,696,1,0,0,1,1
201,44,2,0,3,0,2
201,216,3,0,3,0,3
201,233,2,0,3,0,3
201,696,1,0,3,1,1
130,107,1,0,0,0,5
130,525,2,0,0,1,0
277,525,2,0,1,1,0
130,144,2,0,0,0,0
582,525,2,1,3,1,0
200,44,2,0,3,0,2
200,144,2,0,3,0,0
200,233,2,0,3,0,3
66,272,1,0,2,0,1
1777,272,2,4,5,0,1
66,924,1,0,2,2,0
200,43,1,0,3,0,2
200,924,1,0,3,2,0
66,56,2,0,2,0,2
66,518,1,0,2,1,0
2209,56,1,4,1,0,2
2209,518,2,4,1,1,0
66,162,1,0,2,0,0
66,1882,1,0,2,4,0
277,162,1,0,1,0,0
277,1882,2,0,1,4,0
201,56,1,0,3,0,2
201,219,1,0,3,0,3
0,66,2,0,2,0,2
0,84,1,0,5,0,2
0,986,2,2,3,0,2
0,1763,2,0,2,4,2
327,84,2,0,4,0,5
0,277,1,0,1,0,2
0,565,1,1,0,0,2
0,999,1,0,2,2,3
0,1652,1,4,2,0,2
688,1270,3,3,5,1,1
688,2147,1,1,1,4,3
200,691,1,0,3,1,1
688,691,1,1,1,1,1
594,197,1,1,3,0,0
688,197,1,1,1,0,0
688,518,1,1,1,1,0
688,626,1,1,1,1,3
688,709,1,1,1,1,1
1652,626,1,4,2,1,3
651,553,7,1,1,1,0
2198,553,6,4,1,1,0
2198,680,4,4,1,1,1
651,2208,1,1,1,4,1
975,1704,2,4,2,2,3
975,2208,1,2,3,4,1
1652,553,4,4,2,1,0
651,826,3,1,1,2,2
2199,826,5,4,1,2,2
277,646,1,0,1,1,3
277,653,3,0,1,1,1
651,646,1,1,1,1,3
651,653,3,1,1,1,1
2199,553,6,4,1,1,0
327,1116,1,0,4,2,1
327,2027,1,0,4,4,0
1516,2027,1,3,4,4,0
201,1464,1,3,1,0,3
1887,0,1,4,0,0,2
1887,1068,3,2,1,4,0
1887,1464,1,4,0,3,1
1887,1961,3,4,0,4,0
201,690,2,0,3,1,1
1777,690,2,4,5,1,1
200,99,1,0,3,0,5
201,99,1,0,3,0,5
201,139,3,0,3,0,0
201,688,1,1,1,0,3
201,141,1,0,3,0,0
277,690,2,0,1,1,1
1516,970,1,3,4,2,3
1887,1411,2,4,0,3,3
1887,1801,1,4,0,4,5
2198,1801,2,4,1,4,5
1887,2041,1,4,0,4,3
1777,2065,3,4,5,4,3
2199,1889,1,4,1,4,0
2199,2065,3,4,1,4,3
1652,1516,3,4,2,3,4
1652,2065,3,4,2,4,3
971,826,1,2,2,2,3
971,912,2,2,0,2,3
971,1299,2,3,0,2,3
971,1893,2,2,3,4,0
971,2050,2,4,3,2,3
2199,1893,2,4,1,4,0
2199,2196,2,4,1,4,1
2198,2072,1,4,1,4,3
2199,1649,1,4,1,4,2
2199,2072,1,4,1,4,3
1516,1893,2,3,4,4,0
1516,2196,2,3,4,4,1
2199,1459,1,4,1,3,1
582,2065,3,1,3,4,3
582,2077,1,1,3,4,3
2199,2077,1,4,1,4,3
594,517,1,1,3,1,0
585,668,1,1,3,1,1
585,1318,1,1,3,3,0
594,668,1,1,3,1,1
594,1318,2,1,3,3,0
594,292,3,1,3,0,1
975,292,3,2,3,0,1
200,117,1,0,3,0,5
200,292,3,0,3,0,1
594,117,1,1,3,0,5
585,2258,1,1,3,4,1
1516,2258,1,3,4,4,1
585,1961,2,1,3,4,0
585,2125,1,1,3,4,3
585,463,1,1,5,1,3
585,510,1,1,0,1,3
200,1704,2,4,2,0,3
200,2299,2,0,3,4,1
1516,2299,2,3,4,4,1
200,1517,1,0,3,3,4
582,2299,2,1,3,4,1
1777,1359,1,4,5,3,0
1777,2199,4,4,5,4,1
1777,2259,1,4,5,4,1
2198,2259,1,4,1,4,1
2198,567,1,4,1,1,0
1652,1271,1,4,2,3,5
2209,1271,1,4,1,3,5
971,999,1,2,3,2,3
971,1411,1,3,3,2,3
971,1067,1,2,1,2,3
971,1380,1,2,3,3,3
971,2087,1,2,3,4,3
1516,1380,1,3,4,3,3
2209,604,1,4,1,1,3
277,976,1,0,1,2,3
975,435,1,2,3,1,2
975,1131,1,2,4,2,3
2209,1801,1,4,1,4,5
2198,641,1,4,1,1,3
582,1416,1,1,3,3,3
1516,1201,1,3,4,3,2
1516,1416,1,3,4,3,3
2209,711,1,4,1,1,4
2209,1505,1,3,1,4,1
