source,target,weight,sourceArea,sourceCategory,targetArea,targetCategory
494,656,1,1,5,1,1
494,1652,1,4,2,1,5
494,2380,1,1,5,4,4
233,300,2,0,3,0,1
233,651,2,1,1,0,3
233,976,1,0,3,2,3
233,1068,2,2,1,0,3
975,300,7,2,3,0,1
975,651,7,1,1,2,3
975,976,2,2,3,2,3
975,1068,15,2,1,2,3
233,66,1,0,2,0,3
582,300,8,1,3,0,1
582,651,16,1,3,1,1
1652,582,25,1,3,4,2
1652,585,7,4,2,1,3
1652,677,5,4,2,1,1
1652,2068,6,4,2,4,3
2228,582,1,1,3,4,1
2228,585,1,4,1,1,3
2228,677,1,1,1,4,1
2228,2068,1,4,1,4,3
651,975,6,1,1,2,3
651,2217,3,1,1,4,1
651,2344,1,1,1,4,4
2211,582,1,1,3,4,1
2211,975,2,2,3,4,1
2211,2217,2,4,1,4,1
2211,2344,1,4,1,4,4
582,526,1,1,3,1,0
582,975,29,1,3,2,3
2211,526,1,4,1,1,0
2211,1387,1,3,3,4,1
582,2042,2,1,3,4,3
2067,651,1,1,1,4,3
2067,986,1,2,3,4,3
2067,2042,1,4,3,4,3
2067,2198,1,4,1,4,3
2042,430,1,4,3,1,2
2042,2141,1,4,3,4,3
2042,2199,1,4,1,4,3
2042,2209,2,4,1,4,3
2198,430,5,4,1,1,2
2198,2141,2,4,1,4,3
2198,2209,16,4,1,4,1
585,1660,1,1,3,4,2
585,1777,10,4,5,1,3
585,2196,3,1,3,4,1
585,2209,9,4,1,1,3
2042,1660,1,4,3,4,2
2042,1777,1,4,5,4,3
2042,2196,1,4,3,4,1
656,327,9,0,4,1,1
656,1068,8,2,1,1,1
656,1670,3,4,2,1,1
656,2198,11,4,1,1,1
1688,327,2,0,4,4,2
1688,1068,2,2,1,4,2
1688,1670,1,4,2,4,2
1688,2198,2,4,1,4,2
582,2068,4,1,3,4,3
1688,718,1,1,4,4,2
1688,2068,1,4,3,4,2
1386,582,3,1,3,3,3
1386,826,3,3,3,2,2
1386,1214,3,3,3,3,2
1386,1387,3,3,3,3,3
2209,582,60,1,3,4,1
2209,826,4,4,1,2,2
2209,1214,19,4,1,3,2
2209,1387,21,3,3,4,1
1453,826,7,3,1,2,2
582,200,13,1,3,0,3
582,435,2,1,3,1,2
1341,200,1,3,0,0,3
1341,435,1,3,0,1,2
1341,1214,1,3,2,3,0
1341,1387,1,3,3,3,0
1341,1454,1,3,1,3,0
1341,1479,1,3,1,3,0
1292,826,1,2,2,3,5
1292,970,1,3,5,2,3
1292,1381,1,3,3,3,5
1292,1516,1,3,4,3,5
1453,970,2,3,1,2,3
1453,1381,7,3,3,3,1
1006,12,1,0,2,2,3
1006,975,1,2,3,2,3
1006,1387,1,3,3,2,3
1006,2199,1,4,1,2,3
277,111,6,0,1,0,5
277,2086,1,0,1,4,3
277,2198,28,4,1,0,1
695,111,1,0,5,1,1
695,130,1,0,0,1,1
695,2086,1,1,1,4,3
695,2198,1,4,1,1,1
678,582,2,1,3,1,1
678,585,2,1,3,1,1
678,680,2,1,1,1,1
678,1068,1,2,1,1,1
688,582,14,1,3,1,1
688,585,4,1,1,1,3
688,680,3,1,1,1,1
688,1068,8,2,1,1,1
678,84,1,1,1,0,5
678,2068,1,4,3,1,1
1652,84,2,4,2,0,5
1652,680,6,4,2,1,1
216,66,5,0,2,0,3
216,130,8,0,0,0,3
216,277,9,0,1,0,3
216,582,17,1,3,0,3
535,66,1,0,2,1,0
535,130,1,0,0,1,0
535,277,1,0,1,1,0
535,582,1,1,3,1,0
288,327,1,0,4,0,1
288,718,1,1,4,0,1
288,975,1,2,3,0,1
288,1516,1,3,4,0,1
2198,194,6,4,1,0,0
2198,552,5,4,1,1,0
2198,1068,11,4,1,2,1
2198,1516,13,4,1,3,4
2210,194,1,0,0,4,1
2210,552,1,4,1,1,0
2210,582,1,1,3,4,1
2210,1068,1,2,1,4,1
2210,1516,1,3,4,4,1
2210,1649,1,4,2,4,1
2210,2141,1,4,3,4,1
1411,582,21,1,3,3,3
1411,1324,8,3,0,3,3
1411,1652,23,4,2,3,3
1411,2050,6,3,3,4,3
2146,582,2,1,3,4,3
2146,1324,2,3,0,4,3
2146,1652,2,4,2,4,3
2146,2050,1,4,3,4,3
2146,549,1,4,3,1,0
2146,1283,1,4,3,3,5
2209,549,4,4,1,1,0
2209,1283,2,4,1,3,5
2209,1324,23,3,0,4,1
2209,1652,33,4,2,4,1
585,582,17,1,3,1,3
585,1898,1,1,3,4,0
585,2352,1,1,3,4,4
1930,582,1,1,3,4,0
1930,1898,1,4,0,4,0
1930,2209,1,4,1,4,0
1930,2352,1,4,0,4,4
1771,430,2,1,2,4,5
1771,552,3,1,0,4,5
1771,582,3,1,3,4,5
1771,1214,2,3,2,4,5
2198,1214,15,4,1,3,2
1771,0,2,4,5,0,2
1961,0,2,4,0,0,2
1961,552,2,1,0,4,0
1961,582,7,1,3,4,0
1961,1214,5,3,2,4,0
1464,0,4,3,1,0,2
1464,430,2,3,1,1,2
1464,552,2,3,1,1,0
1464,582,7,1,3,3,1
1652,549,5,4,2,1,0
1652,1577,2,4,2,4,2
